ID,gender,race,ethnicity,age years,ages,genders,baths,lot,dishwash,cwasher,swim
1,F,W,N,1,3008030128..............................,FFMFM...............,2,-6,0,1,0
2,M,W,N,25,545425..................................,FMM.................,2,-6,1,1,0
3,M,W,N,65,6568....................................,MF..................,2,440000,1,1,0
4,M,W,M,20,49432018................................,MFMM................,1,5000,1,1,0
5,M,B,N,22,54222016................................,FMMM................,2,2500,0,1,0
6,F,W,N,7,42421007................................,MFMF................,2,33000,1,1,0
7,M,W,N,5,292805..................................,FMM.................,2,10000,1,1,0
8,F,A,N,42,4042150756421109........................,FMMMFFFM............,3,9000,0,1,0
9,M,W,N,1,41360501................................,MFFM................,1,-6,0,1,0
10,F,W,N,38,384614..................................,FMF.................,3,18000,1,1,1
11,M,W,N,52,5243170705..............................,MFFMF...............,2,22000,1,1,1
12,F,W,O,5,340503..................................,FFF.................,1,-6,0,0,0
13,F,W,N,33,33321310................................,FMMF................,2,88000,0,1,0
14,M,A,N,54,54512822................................,MFFF................,1,7500,0,1,0
15,M,W,N,10,27341510................................,MFFM................,3,132000,1,1,0
16,F,A,N,51,535119..................................,MFM.................,2,44000,0,1,0
17,M,W,N,64,6464....................................,FM..................,2,10800,0,1,0
18,F,W,N,48,485321..................................,FMF.................,2,88000,1,1,2
19,F,O,M,24,2401002825..............................,FFMMM...............,1,-6,1,0,0
20,M,O,N,19,45472319181108..........................,MFFMFMF.............,2,2600,1,1,1
21,M,W,N,57,515706..................................,FMF.................,2,-6,0,1,0
22,F,W,N,30,30300401................................,MFFF................,2,88000,1,1,0
23,M,W,N,68,6866....................................,MF..................,1,8250,1,1,0
24,M,B,N,14,40501410................................,FMMM................,3,14400,1,1,0
25,M,W,N,40,4040180705..............................,FMMFF...............,1,22000,1,1,2
26,F,W,N,49,4949....................................,MF..................,2,-6,0,1,0
27,F,W,N,5,31330605................................,MFFF................,4,13000,1,1,0
28,F,W,N,13,53511613................................,MFMF................,2,-6,1,1,0
29,M,N,N,0,2600....................................,MM..................,1,44000,1,1,0
